식당명,대표메뉴,주소,lat,lng
메밀꽃필무렵,메밀,서울특별시 종로구 통의동 7-23,37.5788439,126.97369
더레스토랑,프랑스식,서울특별시 종로구 소격동 59-1,37.5806884,126.9804588
긴자 바이린,돈까스,서울특별시 종로구 사간동 93,37.5775348,126.9804599
이태리재,파스타,서울특별시 종로구 소격동 158-1,37.57876479999999,126.9817259
침니펍,생크림 굴뚝빵,서울특별시 종로구 통의동 35-4,37.5766177,126.974033
보라,보라 빙수,서울특별시 종로구 율곡로3길 75-3 소격동 149-5 1층,37.5789432,126.9819272
대복집,된장전골,서울특별시 종로구 적선동 13-2,37.5761676,126.973866
대선칼국수,두부두루치기,서울특별시 종로구 자하문로4길 6,37.5771471,126.9726344
도토리불떡콩,불고기떡볶이,서울특별시 종로구 안국동 24-1,37.578416,126.9822288
경원집족발,족발,서울특별시 종로구 적선동 27,37.5761705,126.9734743
명동교자 본점,칼국수,서울특별시 중구 명동2가 25-2,37.5625339,126.9857421
명동 할매낙지,낙지백반,서울특별시 중구 명동 2가 31-7,37.5621121,126.9850947
하동관,곰탕,서울특별시 중구 명동9길 12,37.5643946,126.9850185
바오차이,딤섬,서울특별시 중구 을지로 2가 148-28 지하 1층,37.56572269999999,126.9884789
코고,"일식, 찜요리, 사시미",서울특별시 중구 을지로2가 199-41 황해빌딩 2층,37.5646219,126.9842072
풍남원조골뱅이,골뱅이,서울특별시 중구 을지로3가 350-1,37.5656355,126.989972
혜민당,서양배 타르트,서울특별시 중구 을지로2가 101-37,37.5664392,126.9885982
하이디라오,"훠궈, 샤브샤브, 중국식샤브샤브",서울특별시 중구 명동1가 59-5,37.5641453,126.9829504
도이농,"소고기 국수, 버마식 커리",서울특별시 중구 을지로9길 14 수표동 56-11 2층,37.5668047,126.9884552
영양센터,삼계탕 #전기구이,서울특별시 중구 충무로1가 25-32,37.5610759,126.9831099
찰스H,"bar, 칵테일, 샴페인",서울특별시 종로구 당주동29 포시즌스호텔 지하1층,37.5705166,126.9755371
포시즌스호텔서울 마루,월드오브빙수,서울특별시 종로구 새문안로 97,37.5704525,126.975539
포시즌스호텔서울 유유안,"베이징덕, 딤섬, 광둥식요리, 중식",서울특별시 종로구 새문안로 97 당주동 29 11층,37.57066349999999,126.9753645
광화문집,김치찌개,서울특별시 종로구 당주동 43,37.571335,126.9749738
한육감,한우구이,서울특별시 종로구 종로3길 17,37.5713243,126.9790396
남도식당,연탄삼겹살,서울특별시 종로구 청진동 204-1,37.5721944,126.9794234
감촌,순두부,서울특별시 종로구 청진동 166 르메이에르 2층,37.5709593,126.9798759
신성,보리굴비,서울특별시 종로구 무교로 42 서린동 128-1,37.5696259,126.9794573
우정낙지,낙지볶음,서울특별시 종로구 서린동 127,37.5693566,126.9794745
유림낙지,낙지볶음,서울특별시 종로구 서린동 129-1,37.5694548,126.979686
장원북어국,북어국,서울특별시 영등포구 여의도동 226-36,37.5175402,126.9345308
마키보이,샌드마키,서울특별시 영등포구 여의 대방로 383 경도빌딩 109호,37.5193175,126.9314199
쿠마,회,서울특별시 영등포구 여의대방로69길 7,37.5197242,126.9312417
길거리쌀국수,쌀국수,서울특별시 동작구 노량진동 148-87 2구간,37.51346220000001,126.9452938
서궁,오향장육 쇠고기군만두,서울특별시 영등포구 여의도동 43-3 홍우빌딩 1층,37.5208907,126.9312481
이모네폭탄밥,폭탄밥,서울특별시 동작구 노량진동 148-91,37.5133386,126.9458849
노량진 포차 수제비,멸치수제비,서울특별시 동작구 노량진로 184,37.5132736,126.9461731
포족,족발 월남쌈,서울특별시 영등포구 여의도동 44-1,37.5210579,126.9297678
고반식당,돼지고기,서울특별시 영등포구 여의대방로67길 21,37.5205092,126.9294646
할머니 왕파전,파전,서울특별시 동작구 노량진1동 119-178 2층,37.5113991,126.9445232
일미식당,청국장,서울특별시 종로구 낙원동 284-6 (낙원상가 B1F 148호),37.5726662,126.9878079
육회한연어,"육회, 랍스타, 연어",서울특별시 종로구 낙원동 121-1,37.5727164,126.9897235
카페뎀셀브즈,디저트,서울특별시 종로구 관철동 5-8,37.5691731,126.987984
크래프트루,맥주 안주,서울특별시 종로구 익선동 166-57,37.5730285,126.9894397
창화당,모둠만두 #떡볶이,서울특별시 종로구 수표로28길 23 익선동 174 1층,37.5729794,126.9898094
르블란서,로스티드 치킨,서울특별시 종로구 수표로 28길 30,37.57285840000001,126.9902061
익선잡방,마스카포네 치즈 오믈렛,서울특별시 종로구 수표로 28길 17-21,37.5733509,126.9894285
거북이슈퍼,"가맥, 맥주, 쥐포",서울특별시 종로구 익선동 166-79,37.5734096,126.9894436
마산해물아구찜,아구찜,서울특별시 종로구 낙원동 45-3,37.5735649,126.9880038
1920 경양식,"돈까스, 레스토랑, 함박스테이크",서울특별시 종로구 익선동 166-71,37.5734901,126.9895772
달인꽈배기,꽈배기,서울특별시 서대문구 영천동 69-3,37.5713418,126.9598782
달인꽈배기,꽈배기,서울특별시 서대문구 영천동 69-3,37.5713418,126.9598782
더풍년,모듬해물,서울특별시 서대문구 통일로 189-1 영천동 323 영천시장 D열,37.570021,126.962521
