호텔등급,명칭,행정 시,행정 구,행정 동,주소,lat,lng
특1급호텔,JW메리어트호텔서울,서울특별시,서초구,반포4동,서울특별시서초구반포4동JW메리어트호텔서울,37.5039018,127.0047481
특1급호텔,메리어트 이그제큐티브 아파트먼트,서울특별시,영등포구,여의동,서울특별시영등포구여의동메리어트 이그제큐티브 아파트먼트,37.5212552,126.9183157
특1급호텔,W워커힐,서울특별시,광진구,광장동,서울특별시광진구광장동W워커힐,37.5552126,127.1108905
특1급호텔,그랜드앰배서더호텔서울,서울특별시,중구,장충동,서울특별시중구장충동그랜드앰배서더호텔서울,37.5601848,127.0024898
특1급호텔,그랜드인터컨티넨탈서울파르나스,서울특별시,강남구,삼성1동,서울특별시강남구삼성1동그랜드인터컨티넨탈서울파르나스,37.5088823,127.0608141
특1급호텔,그랜드하얏트서울,서울특별시,용산구,한남동,서울특별시용산구한남동그랜드하얏트서울,37.5393346,126.9972683
특1급호텔,그랜드힐튼호텔서울,서울특별시,서대문구,홍은2동,서울특별시서대문구홍은2동그랜드힐튼호텔서울,37.5890761,126.934305
특1급호텔,노보텔앰배서더강남,서울특별시,강남구,역삼1동,서울특별시강남구역삼1동노보텔앰배서더강남,37.5052908,127.0288874
특1급호텔,롯데시티호텔김포공항,서울특별시,강서구,방화2동,서울특별시강서구방화2동롯데시티호텔김포공항,37.563881,126.802983
특1급호텔,롯데호텔,서울특별시,중구,명동,서울특별시중구명동롯데호텔,37.5653,126.980979
특1급호텔,롯데호텔롯데월드,서울특별시,송파구,잠실3동,서울특별시송파구잠실3동롯데호텔롯데월드,37.511534,127.099981
특1급호텔,르네상스서울호텔,서울특별시,강남구,역삼1동,서울특별시강남구역삼1동르네상스서울호텔,37.5103398,127.0452919
특1급호텔,메이필드호텔,서울특별시,강서구,발산1동,서울특별시강서구발산1동메이필드호텔,37.5475247,126.8187885
특1급호텔,밀레니엄서울힐튼호텔,서울특별시,중구,회현동,서울특별시중구회현동밀레니엄서울힐튼호텔,37.5552286,126.9757787
특1급호텔,반얀트리클럽&스파서울,서울특별시,중구,장충동,서울특별시중구장충동반얀트리클럽&스파서울,37.5500108,127.0004802
특1급호텔,서울팔레스호텔,서울특별시,서초구,반포4동,서울특별시서초구반포4동서울팔레스호텔,37.5014043,127.0024412
특1급호텔,쉐라톤그랜드워커힐,서울특별시,광진구,광장동,서울특별시광진구광장동쉐라톤그랜드워커힐,37.5552126,127.1108905
특1급호텔,쉐라톤서울디큐브시티호텔,서울특별시,구로구,신도림동,서울특별시구로구신도림동쉐라톤서울디큐브시티호텔,37.508807,126.8897939
특1급호텔,신라호텔,서울특별시,중구,장충동,서울특별시중구장충동신라호텔,37.5564719,127.0061615
특1급호텔,엘루이호텔,서울특별시,강남구,청담동,서울특별시강남구청담동엘루이호텔,37.5258452,127.0541285
특1급호텔,웨스틴조선호텔서울,서울특별시,중구,소공동,서울특별시중구소공동웨스틴조선호텔서울,37.564378,126.980058
특1급호텔,인터컨티넨탈서울코엑스,서울특별시,강남구,삼성1동,서울특별시강남구삼성1동인터컨티넨탈서울코엑스,37.5126188,127.0574169
특1급호텔,임피리얼팰리스호텔,서울특별시,강남구,논현2동,서울특별시강남구논현2동임피리얼팰리스호텔,37.514021,127.0358805
특1급호텔,콘래드서울,서울특별시,영등포구,여의동,서울특별시영등포구여의동콘래드서울,37.5253357,126.9265542
